word,freq,nivel,longitud
mercadea,0.0145,difícil,8
genetista,0.219,difícil,9
endiosan,0.0219,difícil,8
inconmovibles,0.0195,difícil,13
conservatorios,0.251,difícil,14
atinadas,0.0562,difícil,8
empren,0.0275,difícil,6
despedazaban,0.0148,difícil,12
reprimiera,0.0427,difícil,10
implanto,0.0339,difícil,8
delinque,0.21400000000000002,difícil,8
nublada,0.389,difícil,7
paulina,3.09,difícil,7
empantanar,0.015099999999999999,difícil,10
salsa,20.9,difícil,5
lobera,0.224,difícil,6
calumniosas,0.102,difícil,11
humedeces,0.0148,difícil,9
rondas,3.89,difícil,6
altivo,0.288,difícil,6
ovula,0.025699999999999997,difícil,5
menisco,0.24,difícil,7
llegaste,7.59,difícil,8
inspeccionen,0.031599999999999996,difícil,12
barineses,0.0389,difícil,9
caminero,0.204,difícil,8
deleito,0.126,difícil,7
margina,0.263,difícil,7
despuntan,0.049,difícil,9
irrespetan,0.044700000000000004,difícil,10
repartian,0.051300000000000005,difícil,9
reflexologia,0.012299999999999998,difícil,12
insistes,0.5249999999999999,difícil,8
turbantes,0.257,difícil,9
demoliendo,0.20900000000000002,difícil,10
ateridos,0.0191,difícil,8
patologia,0.186,difícil,9
denegara,0.025699999999999997,difícil,8
soplo,1.8199999999999998,difícil,5
capotillo,0.0562,difícil,9
africanismo,0.0427,difícil,11
renegando,0.389,difícil,9
tamiza,0.0355,difícil,6
aludido,1.35,difícil,7
radicalizar,0.275,difícil,11
jurel,0.224,difícil,5
preferian,0.0407,difícil,9
derechos,204.0,difícil,8
metrico,0.031599999999999996,difícil,7
burundanga,0.158,difícil,10
aproximada,4.79,difícil,10
carburando,0.0324,difícil,10
geles,0.407,difícil,5
rebrote,0.302,difícil,7
cubetas,0.417,difícil,7
trazaba,0.0794,difícil,7
labradores,0.813,difícil,10
equilibrando,0.148,difícil,12
grasa,16.2,difícil,5
palpitando,0.20900000000000002,difícil,10
senal,0.135,difícil,5
espermicida,0.0813,difícil,11
mensaje,126.0,difícil,7
gobernado,5.010000000000001,difícil,9
lactar,0.11499999999999999,difícil,6
nordistas,0.015099999999999999,difícil,9
tableta,1.8199999999999998,difícil,7
danzas,3.7199999999999998,difícil,6
frondosidad,0.055,difícil,11
ataudes,0.09999999999999999,difícil,7
difuminaba,0.015099999999999999,difícil,10
explosiona,0.0174,difícil,10
pilcha,0.07759999999999999,difícil,6
deseadas,1.12,difícil,8
drogadicta,0.45699999999999996,difícil,10
tanguillos,0.012299999999999998,difícil,10
engalanados,0.0692,difícil,11
carde,0.0282,difícil,5
enlosados,0.0145,difícil,9
simaruba,0.0191,difícil,8
dugo,0.0224,difícil,4
verificadores,0.0741,difícil,13
digestiones,0.123,difícil,11
jeques,0.257,difícil,6
asesinen,0.447,difícil,8
sospechadas,0.0398,difícil,11
raramuris,0.02,difícil,9
forca,0.0708,difícil,5
agachara,0.0166,difícil,8
incluyen,34.7,difícil,8
pensemos,3.55,difícil,8
legionarias,0.030199999999999998,difícil,11
aguadero,0.0195,difícil,8
enrojeciendo,0.017,difícil,12
orientativo,0.105,difícil,11
boyante,0.148,difícil,7
false,1.0499999999999998,difícil,5
vicegerente,0.0219,difícil,11
jaripeo,0.0724,difícil,7
transitan,0.912,difícil,9
dividamos,0.126,difícil,9
fecunde,0.015099999999999999,difícil,7
corticosteroide,0.0174,difícil,15
enjuagas,0.060300000000000006,difícil,8
detectara,0.0631,difícil,9
sobrepases,0.0224,difícil,10
excusa,22.4,difícil,6
antequerana,0.0209,difícil,11
marcador,9.33,difícil,8
marcio,0.468,difícil,6
buhos,0.129,difícil,5
costanilla,0.0468,difícil,10
relativos,6.46,difícil,9
remache,0.135,difícil,7
confirmaciones,0.646,difícil,14
rellenados,0.186,difícil,10
manipulacion,0.257,difícil,12
pelicula,11.0,difícil,8
cabreos,0.07759999999999999,difícil,7
diezmaron,0.0562,difícil,9
miele,0.0794,difícil,5
poligamia,0.7759999999999999,difícil,9
dogmatica,0.0263,difícil,9
convocante,0.26899999999999996,difícil,10
encomiable,0.6759999999999999,difícil,10
monocolor,0.151,difícil,9
justificaria,0.012,difícil,12
desfavorece,0.0331,difícil,11
anina,0.0347,difícil,5
impuso,9.120000000000001,difícil,6
secunden,0.025699999999999997,difícil,8
aquesta,0.0759,difícil,7
perfeccionismo,0.186,difícil,14
arrimadas,0.5619999999999999,difícil,9
sectario,0.933,difícil,8
chalanes,0.0537,difícil,8
boscosa,0.501,difícil,7
ciudadania,0.692,difícil,10
copiosos,0.0692,difícil,8
discontinuas,0.135,difícil,12
antecomedor,0.012,difícil,11
cercanamente,0.263,difícil,12
brindado,2.04,difícil,8
desentonado,0.0275,difícil,11
estaticas,0.0115,difícil,9
confisco,0.0224,difícil,8
cartujos,0.14100000000000001,difícil,8
vecindarios,0.692,difícil,11
inoperable,0.08710000000000001,difícil,10
campen,0.0562,difícil,6
contraatacan,0.0977,difícil,12
guantera,0.38,difícil,8
alodio,0.0331,difícil,6
anilinas,0.0398,difícil,8
pomez,0.0224,difícil,5
delimiten,0.0229,difícil,9
descascarado,0.0204,difícil,12
talquino,0.038000000000000006,difícil,8
orquestaciones,0.057499999999999996,difícil,14
